Compound,Dose,Response
C1,250,0.012702703
C1,83.33333333,0.029189189
C1,27.77777778,0.017837838
C1,9.259259259,0.025945946
C1,3.086419753,0.028378378
C1,1.028806584,0.126756757
C1,0.342935528,0.409189189
C1,0.114311843,0.713783784
C1,0.038103948,0.814864865
C1,0.012701316,0.953783784
C1,0.004233772,0.974054054
C1,250,0.00953125
C1,83.33333333,0.0125
C1,27.77777778,0.00890625
C1,9.259259259,0.0096875
C1,3.086419753,0.02828125
C1,1.028806584,0.143125
C1,0.342935528,0.5140625
C1,0.114311843,0.79875
C1,0.038103948,0.95796875
C1,0.012701316,0.995
C1,0.004233772,1.02890625
C2,166.6666667,0.021764706
C2,55.55555556,0.056764706
C2,18.51851852,0.237058824
C2,6.172839506,0.500294118
C2,2.057613169,0.845882353
C2,0.685871056,0.902352941
C2,0.228623685,1.000294118
C2,0.076207895,0.996176471
C2,0.025402632,0.977058824
C2,0.008467544,0.948823529
C2,0.002822515,0.945882353
C3,166,0.003721
C3,55.33333,0.004651
C3,18.44444,0.014186
C3,6.148148,0.018837
C3,2.049383,0.324186
C3,0.683128,0.337907
C3,0.227709,0.838605
C3,0.075903,0.933023
C3,0.025301,0.898837
C3,0.008434,0.962093
C3,0.002811,0.949535
C3,166,0.016444
C3,55.33333,0.009333
C3,18.44444,0.013333
C3,6.148148,0.020222
C3,2.049383,0.302889
C3,0.683128,0.576
C3,0.227709,0.870667
C3,0.075903,0.915556
C3,0.025301,0.988667
C3,0.008434,0.987333
C3,0.002811,1
