"Compound.ID","SMILES","FES","ABL2","BMX","TEC","IGF1R","TYK2","ZAK","STK39","STK24","MST4","MAP4K4","TNIK","SLK","STK10","PAK4","PKMYT1","CSNK1G1","CSNK1G3","VRK1","GSG2","PLK4","TLK1","ADRBK1","ADRBK2","GRK5","PDPK1","RPS6KA1","RPS6KA6","AKT3","STK38L","CDC42BPB","STK32A","CHEK2","DCLK1","PHKG2","CAMK2A","STK33","SNF1LK2","PRKAA1","PRKAA2","STK17A","STK17B","PIM2","PIM3","PIM1","NEK1","NEK2","CAMKK2","STK16","GAK","AAK1","CDK9","CDK2","PCTK2","MAPK8","MAPK13","MAPK3","MAPK7","CDKL1","SRPK1","SRPK2","CLK3","CLK4","DYRK1A","DYRK2","CDC7","TTK","GUCY2D"
"GI261520A","Cl.COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1",0.3,1,1.3,0.5,0.2,0,-0.5,0.4,0.7,0.5,-1.7,0.9,0.8,5.2,1.5,-0.6,0.4,0.1,0.6,1.7,1.4,1,-0.1,-0.1,-0.9,-0.1,0.1,0,0,0.2,0.3,0.2,3.9,0.5,-0.4,0.4,0.8,-1.5,0.4,1.6,0.8,0.3,2.1,1.8,0.7,0.3,1.3,0.4,1.2,0.8,1.3,0.5,0.8,0.3,0,-0.1,0.4,-0.4,0.6,0.1,0.1,0,1.8,0.2,-0.3,0.8,0.9,-0.2
"GR105659X","Oc1ccc2c(CC\C2=C2\C(=O)Nc3ccccc23)c1",0.8,2,0.7,0,0.8,3.6,-0.5,1.8,2.9,2.7,2.5,5.2,1.3,3.8,1.8,-0.5,3.7,1.7,1.3,1.8,6.5,1.5,0.6,0,3.3,5.9,1.2,1.3,0.1,2.6,2.2,0.1,3.5,0,2.5,2.6,7.8,4.8,3.1,6.6,6.2,7.5,3,4.3,2.9,0.3,1.3,5.1,5.2,5.2,7.4,1.5,2.1,0.7,2.5,-0.2,0.3,0.2,0.1,0.1,-0.2,0.6,4.7,4.2,6.6,0.1,5,-0.8
"GR269666A","Cl.C(c1nc2ccc(Nc3ncnc4ccccc34)cc2[nH]1)c1ccccc1",0.1,0.3,1.1,-0.1,0.2,0.5,-0.6,-0.6,-0.3,0,-1.5,0.3,-1,0.5,0.8,-0.9,0.2,-0.1,0.5,0.1,0,0.2,0.3,0,-0.4,-0.3,0.1,0,-0.4,-0.5,-0.7,-0.7,1.3,0.2,-0.5,-0.4,0.3,2.4,-0.2,0.8,3.2,2.2,0.6,0.8,0.2,-0.1,0,0.4,0.4,-0.7,0.9,0,-0.3,0.1,0.3,-0.7,0.1,-0.3,-0.2,0.1,-0.1,-0.3,0.4,0.9,0.5,0,3.6,1.2
"GSK1000163A","CCn1c(nc2c(nc(CN3CCCC3)cc12)C#CC(C)(C)O)-c1nonc1N",-0.3,0.2,-0.5,-0.2,0.1,0,-0.1,0.1,-0.2,0.2,0.1,-0.3,0.7,0.4,2.1,-0.5,0.1,-0.3,-0.9,0.3,0.1,0.4,-0.2,0.2,-0.3,0.2,-0.2,0.3,0.1,0.4,0,0,0.2,-0.2,-0.7,0.2,-0.3,0.2,-0.2,0,-0.2,0.2,0.6,0.1,-0.1,0,0.4,-0.1,0,0.2,1.2,0.1,-0.2,0,-0.4,-0.1,-0.2,0.3,-0.9,-0.4,-0.2,0.2,-0.2,-0.8,0,-0.3,0.3,0.6
"GSK1007102B","OC(=O)C(F)(F)F.CCn1c(nc2c(nc(O[C@@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N",0.7,0.4,-0.6,-0.8,-0.1,-0.1,-0.5,0.6,0.5,0.6,0.1,0.2,0.4,0.8,9.2,-0.8,0.7,1.1,1,1,1,0.4,5.4,1.5,3.4,4,0.9,1.1,4.1,5.8,2.8,3,2.3,5,-0.4,0.8,4,5.1,3.6,4.7,3.4,2,5.9,4.1,2.8,-0.4,1.2,-0.1,0.2,2.8,10.1,0.5,-0.1,0.3,-0.3,-0.7,0.3,0.1,-0.4,0,-0.2,-0.1,3.9,-0.9,0,1.7,0.7,-0.2
"GSK1023156A","NC(=O)c1sc(cc1OCc1ccccc1Br)-n1cnc2ccccc12",0.4,0.9,-0.3,-0.1,0.1,0,NA,-0.4,-0.3,-1.4,0,1.2,2.4,6.1,1.6,-0.1,2.3,0.2,0.9,0.8,1.4,0.2,-0.3,-0.1,-0.1,0.3,3.7,4.5,-0.4,0.1,0.7,1.8,0.8,-0.2,0.5,0.9,2,0.6,0,0.7,1.5,0.8,1.5,1.1,1.1,-0.1,0.8,2.7,2.9,2.4,4,0.2,-0.1,-0.4,1,-0.1,0,-0.6,0.6,0.4,0.2,0.2,4.8,0.2,-3.5,0.6,1.8,0.5
"GSK1030058A","COC(=O)c1sc(cc1OCc1ccccc1C(F)(F)F)-n1cnc2cc(OC)c(OC)cc12",0,0.4,0,-0.7,0,0.4,-0.4,-1.2,0.2,-0.1,-0.7,0.7,3.6,3.4,0.2,-0.7,0.3,-0.1,0.3,0.1,3.4,0.2,0.1,-0.2,0.7,0.5,1.9,1.6,-0.6,-1.2,-0.7,-0.5,0.3,0.1,-0.3,-0.1,1,5.3,0.9,1.7,-0.4,1.5,-0.2,0.3,-0.7,-0.3,2.3,-0.1,3.1,3.4,0.5,0.1,-0.1,0.3,-0.1,-0.4,0.1,-0.4,-0.5,-0.5,-0.3,0.1,-0.4,-0.6,-0.4,-1.7,1.7,-0.4
"GSK1030059A","COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(C)=O)c2cc1OC",0.1,0,0.5,-0.2,0,0.2,-0.2,-0.4,0.7,0.5,-0.1,1.2,1.9,2.8,0.7,-0.6,0.4,0,0.6,0.5,0,0.1,0.1,-0.1,-0.5,0.3,0.7,0.1,-0.3,-0.6,0.8,-0.2,0.1,0.2,-0.6,0.1,1.1,0.9,0.3,0.5,-0.9,0.4,0.7,0.7,0.3,-0.1,1.6,-0.1,1.8,1.9,1.4,0.4,-0.4,0.4,-0.5,-0.3,0.4,0,-0.2,-0.3,0.1,0.1,0.2,0.1,-0.3,-0.9,0.9,0.3
"GSK1030061A","CNC(=O)c1sc(cc1OCc1ccccc1C(F)(F)F)-n1cnc2cc(OC)c(OC)cc12",-0.2,0.7,-0.1,-1,-0.1,2,-0.2,-1.2,-0.1,-0.2,-0.2,0.6,1.2,3.9,0.8,-1.4,0.4,0.2,0.6,-0.2,1.1,-0.1,0.2,-0.1,1.7,0.3,1.3,1.8,-0.9,-1,-0.9,-0.4,-0.1,-0.4,-1.1,0.1,0.3,3.8,-0.3,0.3,-0.5,-0.5,0.4,-0.1,-0.7,-0.3,0.6,0.3,3,1.5,0.6,-0.1,-0.8,-0.2,-0.2,-0.5,-0.1,-0.5,-0.6,-0.2,-0.1,0.1,0.8,-1.9,0.2,-0.9,0.4,-0.2
"GSK1030062A","COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC",0,1.5,0.5,-0.6,0,1.1,0,-0.4,-0.9,-0.2,-0.2,0.2,2.7,6.1,1.9,-0.8,0.7,0,-0.3,0.6,2.1,-0.1,-0.2,0,-0.1,0.4,0.2,1,-0.1,-0.4,-0.4,-0.5,0.1,-0.2,-0.5,0.2,0.5,3.5,0,0.3,-0.1,0.5,0.1,-0.3,-0.6,-0.1,0.5,-0.4,2.5,1.8,1.1,-0.2,-0.4,0,-0.2,0,-0.3,-0.1,-1.2,-0.2,-0.2,0.1,-0.4,-1,1.8,-1.4,0.2,0.3
