Pubmed ID,JAK1,TYK2,JAK2,JAK3,FER,FES,ABL-E255K,ABL-H396P,ABL-M351T,ABL-Q252H,ABL-T315I,ABL-Y253F,ABL1,ARG,CSK,BMX,BTK,TXK,TEC,ITK,BRK,SRMS,PTK5,BLK,LCK,HCK,LYNA,LYNB,FGR,FYN,SRC,YES,EPHA2,EPHA4,EPHA3,EPHB4,EPHB3,EPHB2,PYK2,SYK,ZAP70,LTK,ALK,ROS,INSR,IGF1R,IRR,DDR2,MUSK,TRKA,TRKB,TRKC,RON,MET,AXL,MER,TYRO3,RET,RET-V804L,RET-Y791F,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,KDR,FLT4,FMS,KIT,KIT-D816V,KIT-T6701,KIT-V560G,FLT3,FLT-3-D835Y,PDGFRα,PDGFRα-D842V,PDGFRα-T674I,PDGFRα-V561D,PDGFRβ,TIE2,TNK2,TNK1,EGFR,EGFR-L858R,EGFR-L861Q,EGFR-T790M,EGFR-T790M-L858R,ERBB2,ERBB4,IRAK4,LRRK2,LRRK2-G2019S,CRAF,BRAF,BRAF-V599E,MAP4K2,MST1,MST2,MST4,MAP4K4,MINK,LOK,PAK1,PAK3,PAK2,PAK5,PAK6,MEK1,CK1a,CK1-g2,CK1-g1,CK1-g3,PLK1,GRK7,GRK6,PDK1,MSK1,MSK2,RSK1,RSK2,RSK4,RSK3,P70S6K1,AKT2,AKT1,AKT3,SGK1,SGK3,SGK2,PKC-η,PKC-γ,PKC-α,PKC-β1,PKC-β2,PKC-θ,PKC-ι,PRKG2,PRKG1,PRKX,PKA,ROCK1,ROCK2,MRCK-β,MRCK-α,AURORA-B,AURORA-C,AURORA-A,CHEK2,DCAMKL2,CAMK4,CAMK1D,PHKG1,PHKG2,CAMK2D,CAMK2A,PRAK,MAPKAPK2,MAPKAPK3,MNK2,MKNK1,PRKD3,PRKD1,PRKD2,MARK4,MARK3,PAR-1Bα,MARK1,SNF1LK2 (QIK),SNF1LK (SIK),ARK5,BRSK1,BRSK2,AMPKA1 (A1B1G1),AMPKA2 (A2B1G1),MELK,TSSK2,TSSK1,DAPK1,PIM2,PIM3,PIM1,CHEK1,PASK,NEK1,NEK2,NEK9,NEK7,NEK6,TBK1,IKKE,IKKB,IKKA,CDK5/p35,CDK1/cyclinB,CDK2/cyclinA,CDK2/cyclinE,CDK3/cyclinE,CDK6/cyclinD3,CDK4/cyclinD,JNK2,P38α,P38β,P38δ,P38γ,MAPK1,MAPK3,GSK3A,GSK3B,SRPK1,MSSK1,CLK3,CLK2,HIPK1,HIPK4,DYRK1B,DYRK1A,DYRK2,CK2,TTK,PI3-K-α,PI3-K-δ,PI4-K-β,SPHK1,SPHK2,Compound ID,SMILES
9873686,3,-4,1,-1,3,3,3,2,1,3,2,4,2,3,2,4,-1,3,4,1,5,-1,2,3,2,5,5,3,3,1,0,3,0,8,1,2,6,5,9,-6,-2,2,3,5,0,10,2,-1,1,0,1,0,-2,4,-6,1,4,5,2,2,1,3,4,-10,0,4,15,3,3,5,5,-1,-1,-5,5,2,6,3,4,8,0,2,-1,6,4,3,4,4,12,3,2,2,12,6,6,2,4,5,-1,4,6,3,9,6,2,-25,-1,5,6,3,3,3,2,3,5,0,6,4,2,2,2,3,1,3,2,2,2,3,0,4,3,1,2,3,2,3,3,4,3,3,2,5,0,0,3,0,4,2,2,0,0,5,4,2,3,1,3,10,2,3,5,4,5,1,2,3,4,8,3,3,1,1,3,3,10,2,4,5,1,2,1,3,0,2,5,9,6,3,1,5,6,4,0,0,2,3,5,-2,3,4,21,7,2,1,7,4,2,1,-1,-3,1,0,1,0,1,3,3,3,10,4,0,-8,2,0,GW775608X,Cc1ccc(NC(=O)c2ccnc(c2)N2CCOCC2)cc1-c1ccc(cc1)C(=O)NCC1CC1
11354358,3,-1,1,-1,6,2,1,0,-2,2,1,2,3,2,1,8,1,3,4,1,3,-2,1,1,1,3,3,2,1,2,2,1,0,6,2,1,3,6,6,-2,3,3,4,7,6,3,1,0,3,0,0,0,-5,3,-6,1,0,6,3,4,6,2,4,0,0,2,1,0,2,1,0,1,-2,-4,4,0,4,0,4,4,1,-1,2,2,1,1,1,2,12,4,7,6,0,4,3,1,1,3,-1,5,4,4,5,0,1,-2,2,2,9,4,5,4,3,1,-1,1,2,-1,1,1,2,1,1,1,0,0,0,1,1,3,4,0,0,1,0,0,1,2,0,1,0,0,0,0,3,0,2,4,1,1,1,4,3,3,3,0,1,13,1,2,4,5,5,2,9,1,2,4,4,1,5,5,3,1,2,1,3,3,0,-1,0,1,0,2,2,11,3,0,5,2,4,9,1,0,1,2,3,-5,0,6,31,4,3,8,1,1,2,0,-3,-1,1,2,0,2,3,4,2,2,5,1,3,0,-2,0,GW769076X,Cc1ccc(NC(=O)c2ccnc(c2)N2CCCC2)cc1-c1ccc(cc1)C(=O)NCC1CC1
11354358,4,2,2,-1,-2,3,0,3,1,3,3,2,6,3,0,5,0,7,7,2,3,-1,1,2,3,5,5,2,2,2,10,4,1,9,5,2,5,5,-2,1,0,3,2,6,6,5,2,2,3,4,2,2,4,6,-2,2,1,3,4,4,8,9,8,7,3,5,6,1,5,5,3,-1,5,-2,2,1,4,2,2,4,1,1,2,3,2,1,0,2,8,2,1,3,1,4,4,2,4,5,0,3,5,5,4,4,1,7,-5,4,7,3,4,6,4,7,3,2,3,3,2,3,3,3,2,2,2,2,-1,-1,-1,7,0,1,4,2,4,0,5,4,3,26,1,2,0,10,3,1,4,3,-1,3,2,1,5,4,5,1,2,37,3,2,4,4,5,3,3,2,3,4,6,-1,2,2,6,5,6,2,3,5,0,1,2,5,-1,2,5,-1,3,2,5,8,4,-3,1,2,4,2,-2,-3,1,4,87,41,2,3,7,6,4,2,-3,3,1,1,-2,0,0,1,5,3,6,4,2,3,1,1,GW572401X,CCN(CC)S(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2ccccc2)c1
11354358,3,-1,1,-3,2,4,4,5,2,4,3,4,4,4,0,4,0,-2,1,-1,4,-3,3,2,2,5,6,4,2,-1,7,1,2,7,2,0,4,7,0,-2,1,5,3,2,1,-1,2,2,1,1,3,2,2,5,-5,0,3,4,3,7,-1,2,2,1,-1,1,-1,-2,7,1,2,-1,-1,-2,4,5,4,4,-1,2,1,-1,1,1,3,1,3,4,8,2,1,2,2,6,5,1,3,4,-1,4,7,8,7,4,2,3,-3,4,4,4,4,3,4,9,1,0,2,3,0,2,1,2,2,1,2,1,4,1,3,5,2,1,2,1,2,2,3,3,2,2,2,3,-1,-7,1,-1,3,4,4,-1,1,6,4,3,2,1,2,11,0,3,5,4,4,2,2,-2,1,2,3,-3,-3,1,2,2,3,3,5,2,0,0,1,3,0,2,5,8,4,1,1,6,6,7,-1,0,1,1,-2,1,1,4,29,5,5,4,7,4,1,1,-3,-2,0,1,-4,-1,-3,2,2,4,10,5,1,0,0,0,GW627834A,Cl.N#Cc1cccc(Nc2ncc(o2)-c2ccccc2)c1
11354358,8,-4,2,-5,3,5,3,5,3,5,3,5,6,6,5,5,0,0,2,0,5,-1,5,3,5,8,6,4,4,4,9,4,1,8,6,1,3,12,7,-1,3,5,4,5,5,3,3,2,2,3,3,2,1,7,-8,0,2,6,5,9,6,8,7,-1,2,6,6,0,7,4,4,-5,8,-6,9,4,7,3,2,1,2,4,1,3,4,4,2,39,11,2,4,6,2,8,7,2,4,8,0,4,7,10,9,7,2,4,-8,6,5,5,5,4,3,10,3,2,4,3,2,1,1,2,2,3,2,1,4,3,2,6,1,0,1,2,3,4,4,5,3,3,3,4,1,-3,4,1,5,2,0,0,1,8,8,4,5,2,2,15,0,3,5,4,5,3,3,1,4,5,6,0,-1,3,3,4,3,3,6,8,0,0,0,6,0,1,6,5,4,1,5,9,8,8,0,1,3,3,0,2,3,5,38,5,6,6,8,6,4,3,-2,-3,1,1,-4,0,-1,3,4,12,16,6,2,-5,0,0,GW631581B,COc1cc(Nc2ncc(o2)-c2ccccc2)cc(OC)c1
11354358,3,-3,1,-4,3,5,2,4,2,4,4,2,4,2,1,3,-1,0,2,0,4,-3,3,2,4,6,5,3,4,-1,7,3,1,7,2,0,5,11,7,-1,-1,5,4,5,3,0,3,6,2,2,3,2,6,4,-5,2,3,6,3,7,-1,3,3,1,0,4,-3,0,6,3,3,0,-1,-7,5,3,3,4,3,3,1,0,-1,0,3,2,-1,4,10,2,3,5,-2,7,5,1,3,6,-2,4,7,6,7,5,2,2,-5,4,4,4,4,2,5,9,0,8,2,3,0,1,1,2,2,1,0,2,2,2,7,6,2,1,1,1,2,2,2,3,1,3,3,3,-1,-7,4,0,3,4,1,-2,0,5,4,3,3,1,2,14,0,3,6,6,5,2,2,-2,0,3,5,-1,-2,1,2,3,7,2,4,3,0,0,1,2,0,2,4,9,4,3,2,10,9,11,0,0,1,2,-2,1,1,5,29,8,6,4,5,7,2,0,-4,-2,0,1,-4,-1,-2,3,3,,8,5,3,1,1,-1,GW632046X,Cc1cccc(Nc2ncc(o2)-c2ccccc2)c1
11354358,3,-3,2,-3,3,4,3,5,0,3,3,2,4,2,0,3,-1,-1,1,0,1,-3,2,2,4,3,4,2,2,0,6,2,1,5,2,0,3,5,5,-2,-4,4,3,3,0,1,3,2,3,3,4,3,3,5,-7,0,2,4,4,6,2,6,6,1,0,1,1,-4,6,4,2,-3,4,-5,7,2,3,4,4,0,1,1,1,5,2,2,2,2,7,1,4,6,-1,6,4,2,4,6,-3,5,7,5,8,5,1,2,-8,4,4,4,5,4,3,9,-1,0,9,3,1,2,1,3,1,2,0,1,3,1,1,3,2,1,-1,1,2,3,1,2,2,4,2,3,-1,-3,4,0,4,7,-1,-1,4,7,5,3,22,1,5,41,-2,1,5,6,6,3,4,1,4,7,1,1,0,4,3,5,5,1,3,13,0,-1,-1,9,0,2,5,5,3,0,2,6,6,-3,2,1,4,4,0,-3,3,4,87,34,4,3,6,4,5,3,-3,2,2,-1,-2,0,-1,3,3,,7,4,3,-1,2,0,GW621431X,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2cccc(c2)C(C)=O)c1
11354358,3,-4,1,-5,1,3,2,4,0,2,0,2,-1,-1,3,3,-4,-5,-2,-4,3,-3,2,-2,-2,5,4,2,3,-4,6,2,-2,7,-2,-4,0,7,4,-1,-5,3,-1,5,-2,-12,3,2,3,2,3,3,4,8,-16,1,2,3,5,8,-3,0,1,-3,0,7,-5,1,2,6,2,-1,-1,-2,11,3,1,2,5,0,0,0,-3,1,4,2,3,4,2,1,-3,1,-2,6,4,1,7,10,2,9,9,5,5,5,1,2,-10,3,4,-1,0,-1,3,9,-1,1,1,3,0,0,0,2,1,-3,-3,-3,2,3,4,3,2,-3,0,1,3,2,1,2,2,-1,1,2,-1,-3,-1,-3,-1,3,-3,-2,-1,7,5,2,2,1,1,18,1,2,1,2,1,4,3,0,3,1,2,2,1,4,5,4,8,1,2,3,-4,-1,-1,-3,0,2,6,6,3,1,2,7,7,-1,2,-1,-1,3,-1,-4,0,4,48,7,5,4,5,4,0,0,-3,-4,-4,1,-6,0,-4,-2,2,2,10,3,2,-1,1,1,GW622055X,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2ccccc2Cl)c1
11354358,4,-4,1,-1,4,4,2,5,-2,4,3,2,4,3,4,4,0,1,2,1,3,-3,3,3,4,4,6,3,3,1,8,2,0,8,4,1,4,9,4,0,-1,5,4,5,5,-1,2,1,3,0,4,3,8,20,-7,0,2,4,4,6,3,7,6,0,-2,7,2,0,5,4,3,-2,1,-3,9,3,4,5,8,1,1,1,7,4,3,2,2,11,16,2,5,8,-3,7,5,2,9,12,3,7,10,7,5,6,2,0,-7,4,5,4,4,4,5,10,2,1,-3,4,1,0,1,3,2,3,0,2,4,4,3,2,2,1,2,1,4,3,2,3,3,3,3,4,1,-1,6,4,5,-3,2,0,0,6,5,2,2,2,-1,30,4,4,5,6,6,3,2,2,4,4,2,4,1,5,3,4,7,2,3,-4,0,0,0,-4,1,3,6,9,3,2,3,8,7,4,5,2,4,6,-1,2,2,5,81,26,5,4,6,6,4,4,-3,-2,1,1,-2,0,0,4,4,3,13,4,1,4,1,-1,GW549390X,N(c1ncc(o1)-c1ccccc1)c1ccccc1
11354358,3,0,2,-3,-1,4,2,3,1,4,3,4,2,2,3,3,-1,-1,2,0,4,-1,3,1,2,7,5,3,3,1,5,3,-2,7,3,4,3,8,6,2,-4,5,2,3,1,-2,2,7,3,4,3,2,12,3,-4,1,2,6,5,7,-1,2,3,-2,0,4,1,0,6,1,1,1,2,-6,5,4,4,5,3,3,1,-2,8,2,4,1,2,6,11,2,0,2,2,6,5,3,4,4,-1,3,6,5,6,3,1,5,-7,5,8,5,6,9,5,8,2,2,1,2,1,1,1,2,2,1,1,1,2,2,-1,5,2,1,1,1,2,2,2,3,1,4,2,3,-1,-3,5,-1,3,4,0,-1,1,4,3,3,1,1,2,34,0,2,4,3,4,1,1,-3,1,7,5,-1,-2,1,2,4,2,2,3,0,0,0,1,-1,0,2,5,8,4,9,2,9,7,2,5,3,3,5,-2,-1,2,4,89,48,4,3,6,4,3,2,-3,-2,0,0,-4,0,-3,2,2,10,10,3,1,-1,5,0,GW678313X,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2cccc(c2)-c2ccccc2F)c1
